match_details_link,match_details_time,match_details_date,match_details_teams,match_details_league,match_details_bet_options_option_1,match_details_bet_options_option_x,match_details_bet_options_option_2,match_details_bet_options_bet_count
https://www.betpawa.co.ke/event/32336976?filter=all,8:30 pm,Sat 17/01,"CA Osasuna
Real Oviedo",Football / Spain / LaLiga,1.72,3.50,5.50,108
https://www.betpawa.co.ke/event/32296246?filter=all,8:30 pm,Sat 17/01,"Nottingham Forest
Arsenal FC",Football / England / Premier League,5.50,4.20,1.57,111
https://www.betpawa.co.ke/event/32296035?filter=all,8:30 pm,Sat 17/01,"Swansea City
Birmingham City",Football / England / Championship,2.85,3.30,2.45,110
https://www.betpawa.co.ke/event/32004652?filter=all,8:45 pm,Sat 17/01,"PEC Zwolle
AZ Alkmaar",Football / Netherlands / Eredivisie,4.65,3.95,1.68,113
https://www.betpawa.co.ke/event/32296251?filter=all,9:00 pm,Sat 17/01,"FC Alverca SAD
Moreirense FC",Football / Portugal / Liga Portugal,2.40,3.05,3.10,108
https://www.betpawa.co.ke/event/32029315?filter=all,9:00 pm,Sat 17/01,"Toulouse FC
OGC Nice",Football / France / Ligue 1,1.92,3.65,3.90,112
https://www.betpawa.co.ke/event/32069166?filter=all,10:00 pm,Sat 17/01,"Excelsior Rotterdam
SC Telstar",Football / Netherlands / Eredivisie,2.00,3.65,3.45,110
https://www.betpawa.co.ke/event/32004656?filter=all,10:00 pm,Sat 17/01,"Fortuna Sittard
PSV Eindhoven",Football / Netherlands / Eredivisie,8.00,5.50,1.32,109
https://www.betpawa.co.ke/event/32312323?filter=all,10:30 pm,Sat 17/01,"Young Boys Bern
Lausanne-Sport",Football / Switzerland / Super League,1.87,4.00,3.75,102
https://www.betpawa.co.ke/event/32215193?filter=all,10:45 pm,Sat 17/01,"Union Saint-Gilloise
Yellow-Red KV Mechelen",Football / Belgium / Pro League,1.33,5.25,8.50,107
https://www.betpawa.co.ke/event/32337168?filter=all,10:55 pm,Sat 17/01,"AS Saint-Etienne
Clermont Foot 63",Football / France / Ligue 2,1.46,4.40,7.25,99
https://www.betpawa.co.ke/event/32295848?filter=all,11:00 pm,Sat 17/01,"Real Betis Seville
Villarreal CF",Football / Spain / LaLiga,2.25,3.65,3.00,112
https://www.betpawa.co.ke/event/32004655?filter=all,11:00 pm,Sat 17/01,"NAC Breda
NEC Nijmegen",Football / Netherlands / Eredivisie,3.05,3.60,2.20,110
https://www.betpawa.co.ke/event/32062037?filter=all,11:05 pm,Sat 17/01,"Angers SCO
Olympique Marseille",Football / France / Ligue 1,5.50,4.10,1.61,114
https://www.betpawa.co.ke/event/32296073?filter=all,11:30 pm,Sat 17/01,"Rio Ave FC
SL Benfica",Football / Portugal / Liga Portugal,8.25,4.55,1.38,107
https://www.betpawa.co.ke/event/32370842?filter=all,9:00 am,Sun 18/01,"Sydney FC
Wellington Phoenix FC",Football / Australia / A-League,1.42,4.80,7.25,98
https://www.betpawa.co.ke/event/32004654?filter=all,2:15 pm,Sun 18/01,"SC Heerenveen
FC Groningen",Football / Netherlands / Eredivisie,2.21,3.45,3.10,110
https://www.betpawa.co.ke/event/32156408?filter=all,2:30 pm,Sun 18/01,"Kasimpasa Istanbul
Antalyaspor",Football / Turkey / Super Lig,2.15,3.25,3.50,107
https://www.betpawa.co.ke/event/32262820?filter=all,3:30 pm,Sun 18/01,"KAA Gent
RSC Anderlecht",Football / Belgium / Pro League,2.85,3.40,2.40,110
https://www.betpawa.co.ke/event/32370693?filter=all,4:00 pm,Sun 18/01,"Getafe CF
Valencia CF",Football / Spain / LaLiga,2.55,2.85,3.20,105
https://www.betpawa.co.ke/event/32237463?filter=all,4:00 pm,Sun 18/01,"Servette Geneva
FC Zurich",Football / Switzerland / Super League,1.83,3.90,4.00,101
https://www.betpawa.co.ke/event/32062147?filter=all,4:30 pm,Sun 18/01,"FC Volendam
FC Utrecht",Football / Netherlands / Eredivisie,3.95,3.75,1.84,112
https://www.betpawa.co.ke/event/32004653?filter=all,4:30 pm,Sun 18/01,"Heracles Almelo
FC Twente Enschede",Football / Netherlands / Eredivisie,4.85,3.95,1.66,113
https://www.betpawa.co.ke/event/32100206?filter=all,5:00 pm,Sun 18/01,"Kocaelispor
Trabzonspor",Football / Turkey / Super Lig,2.65,3.25,2.65,109
https://www.betpawa.co.ke/event/32004127?filter=all,5:00 pm,Sun 18/01,"Strasbourg Alsace
FC Metz",Football / France / Ligue 1,1.55,4.40,5.50,114
https://www.betpawa.co.ke/event/32156406?filter=all,5:00 pm,Sun 18/01,"Genclerbirligi SK
Samsunspor",Football / Turkey / Super Lig,2.95,3.20,2.45,109
https://www.betpawa.co.ke/event/32369155?filter=all,5:00 pm,Sun 18/01,"Wolverhampton Wanderers
Newcastle United",Football / England / Premier League,4.50,3.95,1.74,113
